did,tid,num_instances,num_features,num_classes,num_missing_values,tabzilla_name,source,test_small,test_large,test
41159,168337.0,20000.0,4297.0,2.0,0.0,openml__guillermo__168337,"['tabzilla', 'amlb']",False,False,False
43,42.0,306.0,4.0,2.0,0.0,openml__haberman__42,['tabzilla'],False,False,False
1478,14970.0,10299.0,562.0,6.0,0.0,openml__har__14970,"['tabzilla', 'cc18']",False,False,True
329,146063.0,160.0,5.0,3.0,0.0,openml__hayes-roth__146063,['tabzilla'],False,False,False
49,48.0,303.0,14.0,2.0,7.0,openml__heart-c__48,['tabzilla'],False,False,False
51,50.0,294.0,14.0,2.0,782.0,openml__heart-h__50,['tabzilla'],False,False,False
55,54.0,155.0,20.0,2.0,167.0,openml__hepatitis__54,['tabzilla'],False,False,False
23512,146606.0,98050.0,29.0,2.0,9.0,openml__higgs__146606,['tabzilla'],False,False,False
1479,145847.0,1212.0,101.0,2.0,0.0,openml__hill-valley__145847,['tabzilla'],False,False,False
821,3686.0,22784.0,17.0,2.0,0.0,openml__house_16H__3686,['tabzilla'],False,False,False
1480,9971.0,583.0,11.0,2.0,0.0,openml__ilpd__9971,"['tabzilla', 'cc18']",True,True,True
59,145984.0,351.0,35.0,2.0,0.0,openml__ionosphere__145984,['tabzilla'],False,False,False
61,59.0,150.0,5.0,3.0,0.0,openml__iris__59,['tabzilla'],False,False,False
451,3543.0,500.0,6.0,2.0,32.0,openml__irish__3543,['tabzilla'],False,False,False
300,3481.0,7797.0,618.0,26.0,0.0,openml__isolet__3481,"['tabzilla', 'cc18']",False,False,True
41168,168330.0,83733.0,55.0,4.0,0.0,openml__jannis__168330,"['tabzilla', 'amlb']",False,False,False
41143,168911.0,2984.0,145.0,2.0,0.0,openml__jasmine__168911,"['tabzilla', 'amlb']",False,False,False
1053,3904.0,10885.0,22.0,2.0,25.0,openml__jm1__3904,"['tabzilla', 'cc18']",True,True,True
41027,167119.0,44819.0,7.0,3.0,0.0,openml__jungle_chess_2pcs_raw_endgame_complete__167119,"['tabzilla', 'cc18', 'amlb']",True,True,True
1067,3917.0,2109.0,22.0,2.0,0.0,openml__kc1__3917,"['tabzilla', 'cc18', 'amlb']",True,True,True
1063,3913.0,522.0,22.0,2.0,0.0,openml__kc2__3913,"['tabzilla', 'cc18']",True,True,True
3,3.0,3196.0,37.0,2.0,0.0,openml__kr-vs-kp__3,"['tabzilla', 'cc18', 'amlb']",True,True,True
184,2076.0,28056.0,7.0,18.0,0.0,openml__kropt__2076,['tabzilla'],False,False,False
4,4.0,57.0,17.0,2.0,326.0,openml__labor__4,['tabzilla'],False,False,False
1483,9974.0,164860.0,8.0,11.0,0.0,openml__ldpa__9974,['tabzilla'],False,False,False
6,6.0,20000.0,17.0,26.0,0.0,openml__letter__6,"['tabzilla', 'cc18']",False,False,True
42855,360948.0,360.0,105.0,,0.0,openml__libras__360948,['tabzilla'],False,False,False
163,146024.0,32.0,57.0,3.0,5.0,openml__lung-cancer__146024,['tabzilla'],False,False,False
10,10.0,148.0,19.0,4.0,0.0,openml__lymph__10,['tabzilla'],False,False,False
1485,9976.0,2600.0,501.0,2.0,0.0,openml__madelon__9976,"['tabzilla', 'cc18']",False,False,True
40679,146206.0,19020.0,11.0,2.0,0.0,openml__magic__146206,['tabzilla'],False,False,False
12,12.0,2000.0,217.0,10.0,0.0,openml__mfeat-factors__12,"['tabzilla', 'cc18', 'amlb']",False,True,True
14,14.0,2000.0,77.0,10.0,0.0,openml__mfeat-fourier__14,"['tabzilla', 'cc18']",True,True,True
16,16.0,2000.0,65.0,10.0,0.0,openml__mfeat-karhunen__16,"['tabzilla', 'cc18']",True,True,True
18,18.0,2000.0,7.0,10.0,0.0,openml__mfeat-morphological__18,"['tabzilla', 'cc18']",True,True,True
40979,146824.0,2000.0,241.0,10.0,0.0,openml__mfeat-pixel__146824,"['tabzilla', 'cc18']",False,True,True
22,22.0,2000.0,48.0,10.0,0.0,openml__mfeat-zernike__22,"['tabzilla', 'cc18']",True,True,True
554,3573.0,70000.0,785.0,10.0,0.0,openml__mnist_784__3573,"['tabzilla', 'cc18']",False,False,True
334,146065.0,601.0,7.0,2.0,0.0,openml__monks-problems-2__146065,['tabzilla'],False,False,False
24,24.0,8124.0,23.0,2.0,2480.0,openml__mushroom__24,['tabzilla'],False,False,False
1116,3950.0,6598.0,168.0,2.0,0.0,openml__musk__3950,['tabzilla'],False,False,False
1486,9977.0,34465.0,119.0,2.0,0.0,openml__nomao__9977,"['tabzilla', 'cc18', 'amlb']",False,True,True
23517,167120.0,96320.0,22.0,2.0,0.0,openml__numerai28.6__167120,"['tabzilla', 'cc18', 'amlb']",True,True,True
1568,9892.0,12958.0,9.0,4.0,0.0,openml__nursery__9892,['tabzilla'],False,False,False
1493,9956.0,1599.0,65.0,100.0,0.0,openml__one-hundred-plants-texture__9956,['tabzilla'],False,False,False
28,28.0,5620.0,65.0,10.0,0.0,openml__optdigits__28,"['tabzilla', 'cc18']",True,True,True
1487,9978.0,2534.0,73.0,2.0,0.0,openml__ozone-level-8hr__9978,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
30,30.0,5473.0,11.0,5.0,0.0,openml__page-blocks__30,['tabzilla'],False,False,False
1068,3918.0,1109.0,22.0,2.0,0.0,openml__pc1__3918,"['tabzilla', 'cc18']",True,True,True
1050,3903.0,1563.0,38.0,2.0,0.0,openml__pc3__3903,"['tabzilla', 'cc18']",True,True,True
1049,3902.0,1458.0,38.0,2.0,0.0,openml__pc4__3902,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
32,32.0,10992.0,17.0,10.0,0.0,openml__pendigits__32,"['tabzilla', 'cc18']",True,True,True
41145,190410.0,5832.0,309.0,2.0,0.0,openml__philippine__190410,"['tabzilla', 'amlb', 'amlb']",False,False,False
1489,9952.0,5404.0,6.0,2.0,0.0,openml__phoneme__9952,"['tabzilla', 'cc18', 'amlb']",True,True,True
1567,9890.0,1025009.0,11.0,10.0,0.0,openml__poker-hand__9890,['tabzilla'],False,False,False
871,3735.0,3848.0,6.0,2.0,0.0,openml__pollen__3735,['tabzilla'],False,False,False
40683,146210.0,88.0,9.0,2.0,0.0,openml__postoperative-patient-data__146210,['tabzilla'],False,False,False
171,146032.0,339.0,18.0,21.0,225.0,openml__primary-tumor__146032,['tabzilla'],False,False,False
470,3561.0,672.0,10.0,2.0,1200.0,openml__profb__3561,['tabzilla'],False,False,False
1494,9957.0,1055.0,42.0,2.0,0.0,openml__qsar-biodeg__9957,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
782,3647.0,120.0,3.0,2.0,0.0,openml__rabe_266__3647,['tabzilla'],False,False,False
41161,168338.0,20000.0,4297.0,2.0,0.0,openml__riccardo__168338,"['tabzilla', 'amlb']",False,False,False
41165,168332.0,10000.0,7201.0,10.0,0.0,openml__robert__168332,"['tabzilla', 'amlb']",False,False,False
182,2074.0,6430.0,37.0,6.0,0.0,openml__satimage__2074,"['tabzilla', 'cc18']",True,True,True
312,3485.0,2407.0,300.0,2.0,0.0,openml__scene__3485,['tabzilla'],False,False,False
40984,146822.0,2310.0,20.0,7.0,0.0,openml__segment__146822,"['tabzilla', 'cc18', 'amlb']",True,True,True
1501,9964.0,1593.0,257.0,10.0,0.0,openml__semeion__9964,"['tabzilla', 'cc18']",False,True,True
40685,146212.0,58000.0,10.0,7.0,0.0,openml__shuttle__146212,"['tabzilla', 'amlb']",False,False,False
38,3021.0,3772.0,30.0,2.0,6064.0,openml__sick__3021,"['tabzilla', 'cc18']",True,True,True
1502,9965.0,245057.0,4.0,2.0,0.0,openml__skin-segmentation__9965,['tabzilla'],False,False,False
934,3797.0,1156.0,6.0,2.0,0.0,openml__socmob__3797,['tabzilla'],False,False,False
174,2068.0,1066.0,13.0,3.0,0.0,openml__solar-flare__2068,['tabzilla'],False,False,False
40,39.0,208.0,61.0,2.0,0.0,openml__sonar__39,['tabzilla'],False,False,False
42,41.0,683.0,36.0,19.0,2337.0,openml__soybean__41,['tabzilla'],False,False,False
44,43.0,4601.0,58.0,2.0,0.0,openml__spambase__43,"['tabzilla', 'cc18']",True,True,True
46,45.0,3190.0,61.0,3.0,0.0,openml__splice__45,"['tabzilla', 'cc18']",True,True,True
40982,146817.0,1941.0,28.0,7.0,0.0,openml__steel-plates-fault__146817,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
1036,3889.0,14395.0,217.0,2.0,0.0,openml__sylva_agnostic__3889,['tabzilla'],False,False,False
41146,168912.0,5124.0,21.0,2.0,0.0,openml__sylvine__168912,"['tabzilla', 'amlb']",False,False,False
377,3512.0,600.0,61.0,6.0,0.0,openml__synthetic_control__3512,['tabzilla'],False,False,False
48,47.0,151.0,6.0,3.0,0.0,openml__tae__47,['tabzilla'],False,False,False
40499,125922.0,5500.0,41.0,11.0,0.0,openml__texture__125922,"['tabzilla', 'cc18']",False,True,True
50,49.0,958.0,10.0,2.0,0.0,openml__tic-tac-toe__49,"['tabzilla', 'cc18']",True,True,True
885,3748.0,131.0,4.0,2.0,0.0,openml__transplant__3748,['tabzilla'],False,False,False
54,53.0,846.0,19.0,4.0,0.0,openml__vehicle__53,"['tabzilla', 'cc18', 'amlb']",True,True,True
736,3602.0,111.0,4.0,2.0,0.0,openml__visualizing_environmental__3602,['tabzilla'],False,False,False
867,3731.0,130.0,3.0,2.0,0.0,openml__visualizing_livestock__3731,['tabzilla'],False,False,False
41166,168331.0,58310.0,181.0,10.0,0.0,openml__volkert__168331,"['tabzilla', 'amlb']",False,False,False
307,3022.0,990.0,13.0,11.0,0.0,openml__vowel__3022,"['tabzilla', 'cc18']",False,True,True
1509,9945.0,149332.0,5.0,22.0,0.0,openml__walking-activity__9945,['tabzilla'],False,False,False
1497,9960.0,5456.0,25.0,4.0,0.0,openml__wall-robot-navigation__9960,"['tabzilla', 'cc18']",True,True,True
1510,9946.0,569.0,31.0,2.0,0.0,openml__wdbc__9946,"['tabzilla', 'cc18']",True,True,True
40983,146820.0,4839.0,6.0,2.0,0.0,openml__wilt__146820,"['tabzilla', 'cc18', 'amlb', 'amlb']",True,True,True
40733,145793.0,1269.0,9.0,4.0,0.0,openml__yeast__145793,['tabzilla'],False,False,False
44089,361055.0,16714.0,11.0,2.0,0.0,,['grins'],False,False,False
44120,361060.0,38474.0,8.0,2.0,0.0,,['grins'],False,False,False
44121,361061.0,566602.0,11.0,2.0,0.0,,['grins'],False,False,False
44122,361062.0,10082.0,27.0,2.0,0.0,,['grins'],False,False,False
44123,361063.0,13488.0,17.0,2.0,0.0,,['grins'],False,False,False
44125,361065.0,13376.0,11.0,2.0,0.0,,['grins'],False,False,False
44126,361066.0,10578.0,8.0,2.0,0.0,,['grins'],False,False,False
44128,361068.0,72998.0,51.0,2.0,0.0,,['grins'],False,False,False
44129,361069.0,940160.0,25.0,2.0,0.0,,['grins'],False,False,False
44130,361070.0,7608.0,21.0,2.0,0.0,,['grins'],False,False,False
45022,361273.0,71090.0,8.0,2.0,0.0,,['grins'],False,False,False
45021,361274.0,57580.0,55.0,2.0,0.0,,['grins'],False,False,False
45020,361275.0,13272.0,21.0,2.0,0.0,,['grins'],False,False,False
45019,361276.0,3434.0,420.0,2.0,0.0,,['grins'],False,False,False
45028,361277.0,20634.0,9.0,2.0,0.0,,['grins'],False,False,False
45026,361278.0,10000.0,23.0,2.0,0.0,,['grins'],False,False,False
44156,361110.0,38474.0,9.0,2.0,0.0,,['grins'],False,False,False
44157,361111.0,7608.0,24.0,2.0,0.0,,['grins'],False,False,False
44159,361113.0,423680.0,55.0,2.0,0.0,,['grins'],False,False,False
45035,361282.0,58252.0,32.0,2.0,0.0,,['grins'],False,False,False
45036,361283.0,13272.0,22.0,2.0,0.0,,['grins'],False,False,False
45038,361285.0,111762.0,33.0,2.0,0.0,,['grins'],False,False,False
45039,361286.0,4966.0,12.0,2.0,0.0,,['grins'],False,False,False
181,2073.0,1484.0,9.0,10.0,0.0,,"['amlb', 'amlb']",False,False,False
1111,3945.0,50000.0,231.0,2.0,8024152.0,,['amlb'],False,False,False
1457,10090.0,1500.0,10001.0,50.0,0.0,,"['amlb', 'amlb']",False,False,False
41167,189355.0,416188.0,61.0,355.0,0.0,,['amlb'],False,False,False
41158,189922.0,3153.0,971.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
41144,190392.0,3140.0,260.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
41156,190411.0,4147.0,49.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
41157,190412.0,100.0,10001.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
4541,211986.0,101766.0,50.0,3.0,0.0,,"['amlb', 'amlb']",False,False,False
1515,359953.0,571.0,1301.0,20.0,0.0,,"['amlb', 'amlb']",False,False,False
40498,359974.0,4898.0,12.0,7.0,0.0,,"['amlb', 'amlb']",False,False,False
41169,359984.0,65196.0,28.0,100.0,0.0,,['amlb'],False,False,False
41162,359991.0,72983.0,33.0,2.0,149271.0,,"['amlb', 'amlb']",False,False,False
42733,359992.0,39948.0,12.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
42734,359993.0,50789.0,20.0,3.0,154107.0,,"['amlb', 'amlb']",False,False,False
42732,359994.0,2215023.0,9.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
42746,360112.0,4898431.0,42.0,23.0,0.0,,"['amlb', 'amlb']",False,False,False
42742,360113.0,595212.0,58.0,2.0,846458.0,,"['amlb', 'amlb']",False,False,False
42769,360114.0,1000000.0,29.0,2.0,0.0,,"['amlb', 'amlb']",False,False,False
43072,360975.0,50000.0,14892.0,2.0,19658569.0,,"['amlb', 'amlb']",False,False,False
20,,2000.0,241.0,10.0,0.0,,['additional'],False,False,
53,,270.0,14.0,2.0,0.0,,['additional'],False,False,
56,,435.0,17.0,2.0,392.0,,['additional'],False,False,
137,,39366.0,10.0,2.0,0.0,,['additional'],False,False,
273,,120919.0,1002.0,2.0,0.0,,['additional'],False,False,
285,,194.0,29.0,8.0,0.0,,['additional'],False,False,
311,,937.0,50.0,2.0,0.0,,['additional'],False,False,
333,,556.0,7.0,2.0,0.0,,['additional'],False,False,
335,,554.0,7.0,2.0,0.0,,['additional'],False,False,
336,,267.0,23.0,2.0,0.0,,['additional'],False,False,
337,,349.0,45.0,2.0,0.0,,['additional'],False,False,
338,,155.0,9.0,4.0,0.0,,['additional'],False,False,
382,,7019.0,61.0,8.0,48089.0,,['additional'],False,False,
384,,336.0,7903.0,6.0,0.0,,['additional'],False,False,
387,,414.0,6430.0,9.0,0.0,,['additional'],False,False,
389,,2463.0,2001.0,17.0,0.0,,['additional'],False,False,
396,,3204.0,13196.0,6.0,0.0,,['additional'],False,False,
446,,200.0,8.0,2.0,0.0,,['additional'],False,False,
449,,163.0,27.0,5.0,9.0,,['additional'],False,False,
450,,264.0,5.0,2.0,0.0,,['additional'],False,False,
452,,285.0,8.0,7.0,27.0,,['additional'],False,False,
460,,379.0,8.0,4.0,1418.0,,['additional'],False,False,
463,,180.0,32.0,2.0,0.0,,['additional'],False,False,
464,,250.0,3.0,2.0,0.0,,['additional'],False,False,
466,,340.0,15.0,2.0,834.0,,['additional'],False,False,
474,,364.0,33.0,6.0,101.0,,['additional'],False,False,
475,,400.0,6.0,4.0,0.0,,['additional'],False,False,
481,,209.0,9.0,2.0,15.0,,['additional'],False,False,
679,,1024.0,3.0,4.0,0.0,,['additional'],False,False,
694,,310.0,9.0,9.0,0.0,,['additional'],False,False,
717,,508.0,11.0,2.0,0.0,,['additional'],False,False,
721,,200.0,11.0,2.0,0.0,,['additional'],False,False,
724,,468.0,4.0,2.0,0.0,,['additional'],False,False,
733,,209.0,7.0,2.0,0.0,,['additional'],False,False,
738,,195.0,11.0,2.0,2.0,,['additional'],False,False,
745,,159.0,16.0,2.0,0.0,,['additional'],False,False,
746,,250.0,26.0,2.0,0.0,,['additional'],False,False,
747,,167.0,5.0,2.0,0.0,,['additional'],False,False,
748,,163.0,6.0,2.0,0.0,,['additional'],False,False,
750,,500.0,8.0,2.0,0.0,,['additional'],False,False,
753,,194.0,33.0,2.0,0.0,,['additional'],False,False,
757,,528.0,22.0,2.0,504.0,,['additional'],False,False,
763,,250.0,11.0,2.0,0.0,,['additional'],False,False,
764,,450.0,4.0,2.0,0.0,,['additional'],False,False,
765,,475.0,4.0,2.0,0.0,,['additional'],False,False,
767,,475.0,4.0,2.0,0.0,,['additional'],False,False,
774,,662.0,4.0,2.0,0.0,,['additional'],False,False,
778,,252.0,15.0,2.0,0.0,,['additional'],False,False,
779,,500.0,26.0,2.0,0.0,,['additional'],False,False,
786,,303.0,14.0,2.0,6.0,,['additional'],False,False,
788,,186.0,61.0,2.0,0.0,,['additional'],False,False,
795,,662.0,4.0,2.0,0.0,,['additional'],False,False,
796,,209.0,8.0,2.0,0.0,,['additional'],False,False,
798,,303.0,14.0,2.0,6.0,,['additional'],False,False,
801,,185.0,3.0,2.0,0.0,,['additional'],False,False,
802,,1945.0,19.0,2.0,1133.0,,['additional'],False,False,
805,,500.0,51.0,2.0,0.0,,['additional'],False,False,
806,,1000.0,51.0,2.0,0.0,,['additional'],False,False,
810,,418.0,19.0,2.0,1239.0,,['additional'],False,False,
811,,264.0,3.0,2.0,0.0,,['additional'],False,False,
814,,468.0,3.0,2.0,0.0,,['additional'],False,False,
816,,8192.0,9.0,2.0,0.0,,['additional'],False,False,
820,,235.0,13.0,2.0,0.0,,['additional'],False,False,
825,,506.0,21.0,2.0,0.0,,['additional'],False,False,
827,,662.0,4.0,2.0,0.0,,['additional'],False,False,
831,,398.0,8.0,2.0,6.0,,['additional'],False,False,
837,,1000.0,51.0,2.0,0.0,,['additional'],False,False,
838,,500.0,26.0,2.0,0.0,,['additional'],False,False,
839,,782.0,9.0,2.0,466.0,,['additional'],False,False,
840,,205.0,26.0,2.0,57.0,,['additional'],False,False,
841,,950.0,10.0,2.0,0.0,,['additional'],False,False,
843,,22784.0,9.0,2.0,0.0,,['additional'],False,False,
844,,286.0,10.0,2.0,9.0,,['additional'],False,False,
852,,159.0,10.0,2.0,6.0,,['additional'],False,False,
854,,158.0,8.0,2.0,87.0,,['additional'],False,False,
860,,380.0,3.0,2.0,0.0,,['additional'],False,False,
880,,284.0,11.0,2.0,0.0,,['additional'],False,False,
886,,500.0,8.0,2.0,0.0,,['additional'],False,False,
895,,222.0,3.0,2.0,0.0,,['additional'],False,False,
896,,500.0,26.0,2.0,0.0,,['additional'],False,False,
900,,400.0,7.0,2.0,0.0,,['additional'],False,False,
903,,1000.0,26.0,2.0,0.0,,['additional'],False,False,
906,,400.0,8.0,2.0,0.0,,['additional'],False,False,
